Global_avg_temp,City_avg_temp,year
8.27,25.03,1796
8.51,26.71,1797
8.67,24.29,1798
8.51,25.28,1799
8.48,25.21,1800
8.59,24.22,1801
8.58,25.63,1802
8.5,25.38,1803
8.84,25.68,1804
8.56,25.3,1805
8.43,25.22,1806
8.28,24.97,1807
7.63,,1808
7.08,,1809
6.92,,1810
6.86,,1811
7.05,,1812
7.74,24.56,1813
7.59,23.73,1814
7.24,24.09,1815
6.94,23.7,1816
6.98,23.86,1817
7.83,24.37,1818
7.37,23.9,1819
7.62,24.12,1820
8.09,24.83,1821
8.19,24.93,1822
7.72,24.63,1823
8.55,25.3,1824
8.39,25.11,1825
8.36,25.12,1826
8.81,25.36,1827
8.17,24.9,1828
7.94,24.71,1829
8.52,25.07,1830
7.64,24.43,1831
7.45,24.62,1832
8.01,24.85,1833
8.15,24.82,1834
7.39,23.9,1835
7.7,24.54,1836
7.38,24.42,1837
7.51,24.38,1838
7.63,24.45,1839
7.8,24.72,1840
7.69,24.49,1841
8.02,24.78,1842
8.17,24.75,1843
7.65,24.36,1844
7.85,24.6,1845
8.55,25.16,1846
8.09,24.66,1847
7.98,24.45,1848
7.98,24.49,1849
7.9,24.78,1850
8.18,24.76,1851
8.1,24.65,1852
8.04,24.88,1853
8.21,25.02,1854
8.11,25.24,1855
8,23.86,1856
7.76,24.3,1857
8.1,,1858
8.25,,1859
7.96,,1860
7.85,,1861
7.56,,1862
8.11,,1863
7.98,,1864
8.18,,1865
8.29,,1866
8.44,,1867
8.25,,1868
8.43,,1869
8.2,24.89,1870
8.12,24.88,1871
8.19,24.94,1872
8.35,25.06,1873
8.43,24.25,1874
7.86,25.38,1875
8.08,24.93,1876
8.54,25.08,1877
8.83,25.18,1878
8.17,24.86,1879
8.12,25.45,1880
8.27,25.09,1881
8.13,24.89,1882
7.98,24.82,1883
7.77,24.67,1884
7.92,24.38,1885
7.95,24.89,1886
7.91,24.9,1887
8.09,24.88,1888
8.32,25.21,1889
7.97,25.06,1890
8.02,24.68,1891
8.07,25.49,1892
8.06,23.84,1893
8.16,24.74,1894
8.15,25.15,1895
8.21,25.83,1896
8.29,25.39,1897
8.18,25.55,1898
8.4,25.86,1899
8.5,25.56,1900
8.54,25.49,1901
8.3,25.66,1902
8.22,25.14,1903
8.09,25.07,1904
8.23,24.75,1905
8.38,25.17,1906
7.95,25.02,1907
8.19,25.14,1908
8.18,24.75,1909
8.22,24.81,1910
8.18,25.36,1911
8.17,25.25,1912
8.3,24.94,1913
8.59,25.12,1914
8.59,25.73,1915
8.23,25.07,1916
8.02,23.84,1917
8.13,25.28,1918
8.38,24.84,1919
8.36,24.99,1920
8.57,26.04,1921
8.41,25.18,1922
8.42,25.26,1923
8.51,24.98,1924
8.53,24.85,1925
8.73,24.78,1926
8.52,24.73,1927
8.63,25.65,1928
8.24,25.39,1929
8.63,25.1,1930
8.72,25.58,1931
8.71,25.63,1932
8.34,24.52,1933
8.63,24.96,1934
8.52,24.81,1935
8.55,24.76,1936
8.7,24.81,1937
8.86,25.36,1938
8.76,25.24,1939
8.76,25.07,1940
8.77,26.3,1941
8.73,25.4,1942
8.76,25.25,1943
8.85,24.98,1944
8.58,24.78,1945
8.68,25.47,1946
8.8,25.72,1947
8.75,25.45,1948
8.59,25.6,1949
8.37,24.66,1950
8.63,25.58,1951
8.64,25.84,1952
8.87,26.14,1953
8.56,25.68,1954
8.63,25.15,1955
8.28,25.3,1956
8.73,24.91,1957
8.77,25.93,1958
8.73,25.56,1959
8.58,25.53,1960
8.8,24.8,1961
8.75,25.18,1962
8.86,25.46,1963
8.41,25.05,1964
8.53,25.26,1965
8.6,25.52,1966
8.7,24.98,1967
8.52,25.02,1968
8.6,25.8,1969
8.7,25.39,1970
8.6,24.81,1971
8.5,25.42,1972
8.95,25.56,1973
8.47,25.52,1974
8.74,25.02,1975
8.35,25.33,1976
8.85,25.41,1977
8.69,25.21,1978
8.73,25.81,1979
8.98,26.02,1980
9.17,25.79,1981
8.64,25.18,1982
9.03,24.75,1983
8.69,25.56,1984
8.66,25.86,1985
8.83,25.31,1986
8.99,26.54,1987
9.2,26.11,1988
8.92,25.43,1989
9.23,25.54,1990
9.18,25.74,1991
8.84,25.52,1992
8.87,25.92,1993
9.04,25.87,1994
9.35,25.92,1995
9.04,25.55,1996
9.2,24.71,1997
9.52,25.77,1998
9.29,26.36,1999
9.2,26.05,2000
9.41,25.86,2001
9.57,26.63,2002
9.53,25.72,2003
9.32,26.24,2004
9.7,25.72,2005
9.53,26.37,2006
9.73,26.15,2007
9.43,25.68,2008
9.51,26.55,2009
9.7,26.52,2010
9.52,25.63,2011
9.51,25.89,2012
9.61,26.71,2013
